country_code,video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
AE,mYRV_B_QVGw,2025-12-07T05:29:09Z,B Praak x Jaani - Dil Kaat Ke | Sakshi | Rajniesh | Piyush Shazia | Bunny | Desi Melodies,DM - Desi Melodies,10,Music,"dil kaat ke, dil kaat ke song, b praak, bpraak new song, b praak sad song, jaani, jaani new song, jaani sad song, latest sad song, trending sad song, emotional sad song, heartbreak song, breakup song, sad love story song, romantic sad song, latest hindi song 2025, new hindi song, heartbreak music, sad track 2025, bpraak jaani, jaani bpraak song, sad hits 2025, trending hindi song, viral hindi track, sad viral track, breakup hits, sakshi vaidya, Rajniesh Duggal, rajneesh",294,hd,false,True,634676,45401,1599
AE,Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,5107672,254037,13797
AE,S-LMSpzlnc0,2025-12-07T15:44:41Z,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,false,True,2548229,66098,6204
AE,XpuzdWIExz8,2025-12-07T01:00:46Z,#Video | तुहु रोअबु रानी | #Khesari Lal Yadav | Tuhu Roabu Rani | Bhojpuri New Sad Song | GMJ | 2025,GMJ - Global Music Junction - Bhojpuri,10,Music,"Khesari Lal Yadav, khesari lal sad song, sad song khesari lal yadav, khesari lal yadav, Tuhu Roabu Rani video, khesari lal yadav sad song, khesari lal new song, khesari lal yadav new sad song, khesari lal yadav ka new gana, khesari lal yadav ka new song, bhojpuri sad song, khesari lal yadav sad song video, khesari lal song, khesari lal ke gana, sad song, khesari lal yadav sad song dj, New Sad Song 2025, Tuhu Roabu Rani, तुहु रोअबु रानी, sad song khesari lal ka",221,hd,false,True,759175,83145,15034
AE,ZEiFcHGJYzA,2025-12-07T06:30:41Z,Mark - Official Trailer | Kichcha Sudeepa | V Kartikeyaa | Ajaneesh B Loknath | Sathya Jyothi Films,Saregama Kannada,1,Film & Animation,"Mark Kannada, Mark Kannada Trailer, Mark Official Trailer, Kichcha Sudeepa Mark, V Kartikeyaa Mark, Ajaneesh B Loknath Mark, Mark Movie Trailer, Kannada Trailer, Kannada Movie Trailer, Latest Kannada Trailers, Upcoming Kannada Movies, Sudeepa Kannada Movie, Sudeepa New Trailer, V Kartikeyaa Kannada Film, Kannada Action Trailer, Kannada Cinema, Kannada Films, Kannada Movie Updates, Kannada Video, Kannada Official Trailer, mark kicha sudeepa, mark kicha film",145,hd,true,True,9134326,375083,16918
AE,Ntp522Cad-s,2025-12-07T22:10:52Z,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,false,True,1031098,25561,2753
AE,uWi7CCZq1HY,2025-12-07T04:30:07Z,Lying Anyway (OFFICIAL VIDEO) PREM DHILLON | Rupinder Handa | Sarban | Latest Punjabi Songs 2025,Prem Dhillon,22,People & Blogs,"Cant be us, Prem dhillon, sudesh kumari, premdhillon  duet, Karan aujla, boyfriend karan aujla, sidhu moosewala, diss prem dhillon, Navaansandhu, navaan sandhu deewane, navaan sandhu diss, Lying anyways, premdhillon love",269,hd,false,True,379993,26060,1849
AE,BcZJhA2baZc,2025-12-06T05:30:02Z,"Vaa Vaathiyaar - Trailer | Karthi, Krithi Shetty | Nalan Kumarasamy|Santhosh Narayanan| Studio Green",Think Music India,10,Music,"karthi, karthi new movie, karthi new movie trailer, karthi tamil movies, karthi vaa vaathiyaar, karthi vaa vaathiyaar movie, karthi vaa vaathiyaar movie trailer, karthi vaa vaathiyaar trailer, karthi vaa vaathiyar trailer, krithi shetty, latest tamil movies, nalan k",140,hd,false,True,6704101,126587,1290
AE,FLkL2g4FLso,2025-12-07T09:40:29Z,🔴LIVE | FREE SECRETS in Roblox Steal a Brainrot 🔴,Swazr Rblx,20,Gaming,,13,hd,false,True,492858,9671,5
AE,mQ-NA_sQ5f8,2025-12-06T02:30:03Z,Nijjar - God Did (Official Music Video) Latest Punjabi Songs 2025,NIJJAR,10,Music,"God Did, Nijjar, Deep Jandu, God Did song, God Did official video, Nijjar new song, Deep Jandu new song, Nijjar God Did, Punjabi song 2025, New Punjabi song 2025, Latest Punjabi song, Punjabi music, Trending Punjabi songs, Nijjar music 2025, Deep Jandu 2025, God Did official video Punjabi, punjabi song, God Did new punjabi song, nijjar, nav dhiman video, baba kri jawe mehar kmm hoi jande ne, baba kri jawe mehar nijjar, mehar song nijjar, latest punjabi song this week 2025",185,hd,false,True,1573587,110607,1453
